city,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
bangalore,flat,"kr puram, bangalore",0.9586,2,2,2,Relatively New,955.0,0,1,0,Low,Low Floor
gurgaon,flat,sector 83,0.6,2,2,2,Relatively New,990.0,0,0,2,High,Low Floor
bangalore,flat,"whitefield, bangalore",1.05,2,2,3,Old Property,1389.0,0,0,1,Low,Mid Floor
gurgaon,flat,sector 85,1.98,3,4,3,Relatively New,2300.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 104,0.2,1,2,2,New Property,334.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 4,0.65,1,1,1,Moderately Old,70.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 79,1.3,3,3,2,Relatively New,1215.0,0,0,0,High,Mid Floor
bangalore,flat,"electronic city phase 2, bangalore",0.96,3,2,3,New Property,1572.0,0,0,0,Low,Low Floor
gurgaon,house,sector 37d,1.27,3,3,3,Under Construction,1570.0,0,0,0,Medium,Mid Floor
bangalore,flat,s,1.5,2,2,1,New Property,874.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 95,0.17,1,1,1,Relatively New,3568.0,0,0,0,Medium,High Floor
gurgaon,flat,sector 28,2.26,3,3,2,Old Property,1700.0,1,0,0,High,High Floor
gurgaon,flat,sector 50,3.0,3,3,3+,Old Property,2357.0,1,0,2,Medium,High Floor
gurgaon,flat,sector 84,1.1,3,3,3+,Moderately Old,1710.0,0,0,2,Medium,High Floor
gurgaon,flat,sector 67,0.56,2,2,1,New Property,889.0,0,0,0,Medium,Mid Floor
bangalore,house,"varthur, bangalore",2.7,4,4,2,New Property,2137.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 61,1.5,2,2,2,Under Construction,1333.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 89,1.25,3,3,3,New Property,1288.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 102,0.96,2,2,2,Relatively New,828.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 65,2.1,2,2,2,New Property,1185.0,0,0,0,Medium,High Floor
gurgaon,flat,sector 71,1.15,3,3,2,Moderately Old,1541.0,1,0,2,Medium,High Floor
gurgaon,flat,sector 85,1.15,2,2,3,Relatively New,1263.0,0,0,0,Medium,High Floor
gurgaon,flat,sohna road,0.26,2,2,2,Relatively New,640.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 37d,1.75,4,4,3,Relatively New,2100.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sector 49,2.51,3,3,3+,Old Property,2061.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sector 102,2.0,3,4,3+,Relatively New,1900.0,1,0,2,High,High Floor
gurgaon,flat,sector 86,1.54,4,4,3+,Moderately Old,2139.0,1,0,0,Medium,High Floor
gurgaon,flat,sector 89,1.42,3,3,2,New Property,1581.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 92,1.12,4,4,2,Relatively New,2322.0,1,0,0,Medium,High Floor
gurgaon,house,sector 25,10.0,5,5,3+,Moderately Old,9500.0,1,0,1,Low,Mid Floor
gurgaon,flat,sohna road,0.73,2,2,3,Relatively New,1148.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 69,1.2,2,3,1,Relatively New,1221.0,0,0,0,High,Low Floor
gurgaon,flat,sector 107,0.9,2,2,3+,Relatively New,1236.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 95,0.55,3,2,2,New Property,866.0,0,0,1,Low,High Floor
gurgaon,flat,sector 68,1.13,2,2,3,Relatively New,1130.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sector 108,3.75,3,3,2,New Property,2120.0,1,0,0,Medium,High Floor
gurgaon,flat,sector 109,2.3,3,4,3+,New Property,2339.0,1,0,0,Medium,Mid Floor
gurgaon,flat,sector 22,4.63,3,5,3+,New Property,2796.0,1,0,0,Medium,Mid Floor
gurgaon,flat,sector 4,1.05,3,2,2,New Property,1500.0,0,0,2,Low,Low Floor
gurgaon,flat,sector 79,1.1,3,3,3,Relatively New,1154.0,0,0,2,Medium,High Floor
gurgaon,flat,sector 90,1.25,4,5,2,Relatively New,2330.0,1,0,0,High,Mid Floor
gurgaon,flat,sector 79,1.29,2,2,3,New Property,1422.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 43,14.0,9,9,3+,Moderately Old,3510.0,1,0,0,Low,Mid Floor
gurgaon,flat,sector 2,1.5,3,4,3+,Moderately Old,1737.0,1,0,0,Medium,Mid Floor
gurgaon,flat,sector 65,2.35,3,3,3,Relatively New,1649.9982309999998,1,0,0,High,Low Floor
gurgaon,flat,sector 67,1.0,3,3,3+,Moderately Old,1406.0,0,0,0,Low,Low Floor
bangalore,flat,"yashoda nagar, bangalore",2.22,3,3,1,New Property,1195.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 49,2.38,3,4,3,Relatively New,2061.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 92,0.75,4,4,3+,Relatively New,1733.956651,0,0,0,Medium,Mid Floor
gurgaon,house,sector 82,7.0,4,4,3+,Relatively New,3240.0,1,0,2,Low,Low Floor
gurgaon,flat,sector 37d,1.2,3,3,3,Relatively New,1000.0,0,1,0,Medium,Mid Floor
gurgaon,house,sector 26,17.0,5,6,3,Old Property,4518.0,1,1,2,Medium,Low Floor
gurgaon,flat,sector 82a,2.85,4,4,3+,New Property,2179.0,1,0,1,High,Low Floor
gurgaon,flat,sector 61,1.58,2,2,2,New Property,1278.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 83,1.08,3,3,2,Relatively New,1570.0,0,0,0,Low,High Floor
gurgaon,flat,sector 85,0.88,3,3,1,Relatively New,1344.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 89,1.1,3,1,0,New Property,1102.976833,0,0,0,Low,Low Floor
gurgaon,flat,sector 89,0.86,2,3,3,Under Construction,998.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 82,0.8,2,2,3,Relatively New,1383.0,0,0,0,Low,Mid Floor
bangalore,house,"sarjapur road, bangalore",3.2,5,4,3,Relatively New,5555.0,0,0,0,Low,Mid Floor
bangalore,house,"budigere cross, bangalore",12.5,4,4,2,Relatively New,3733.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 81,3.0,4,5,2,Relatively New,2882.0,1,0,2,Medium,Mid Floor
gurgaon,flat,sector 102,3.0,4,4,3+,Relatively New,3177.0,0,0,2,Medium,Mid Floor
bangalore,house,s,2.25,3,2,0,Old Property,750.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 52,0.45,1,1,0,Moderately Old,513.0,0,0,2,Low,Low Floor
gurgaon,flat,sector 70a,2.3,3,3,3,Relatively New,1945.0,0,1,2,Medium,Mid Floor
gurgaon,flat,sector 86,1.72,3,3,1,Relatively New,1745.0,0,0,2,Low,Mid Floor
gurgaon,flat,sector 48,1.5,3,3,3,Old Property,1600.0,0,0,2,Medium,Low Floor
gurgaon,flat,sector 90,1.29,3,3,3,Relatively New,1540.0,0,0,0,High,Mid Floor
gurgaon,flat,sector 99a,0.27,2,2,1,New Property,552.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 107,0.38,2,2,2,Relatively New,627.0,0,0,2,Low,Mid Floor
gurgaon,flat,sector 57,1.5,3,2,3+,Moderately Old,2460.0,0,0,0,Medium,Low Floor
gurgaon,house,sector 39,7.0,10,11,3+,Relatively New,7000.0,0,0,2,Low,Mid Floor
bangalore,flat,"thanisandra, bangalore",1.19,2,2,2,Moderately Old,922.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 50,10.45,4,5,2,Moderately Old,4000.0,1,0,2,Medium,Mid Floor
gurgaon,house,sector 63a,3.85,3,3,3+,New Property,2771.0,1,0,2,High,Mid Floor
gurgaon,flat,sector 86,1.5,3,3,1,Relatively New,1719.0,0,0,0,Low,High Floor
gurgaon,flat,sector 102,1.4,3,3,3,Relatively New,1493.0,1,0,2,Medium,Mid Floor
bangalore,flat,"horamavu, bangalore",1.65,2,2,1,Relatively New,863.0,0,0,2,Low,Mid Floor
gurgaon,house,sector 86,2.5,4,5,3+,Moderately Old,3194.0,1,0,2,Low,Mid Floor
gurgaon,flat,sohna road,1.1,3,2,3,Relatively New,1318.0,0,0,0,Low,High Floor
gurgaon,flat,sohna road,1.1,2,2,3+,Relatively New,1318.0,0,0,2,Low,High Floor
gurgaon,house,sector 25,13.5,5,6,3+,Old Property,3618.0,0,0,2,Medium,Mid Floor
bangalore,house,"sarjapur road, bangalore",3.5,4,4,3+,New Property,3450.0,1,0,0,Low,Low Floor
gurgaon,flat,sector 110,5.5,4,5,3+,Relatively New,2663.0,1,0,0,Medium,Low Floor
gurgaon,house,sector 17b,7.2,4,4,2,Old Property,4494.0,1,1,0,Low,Low Floor
gurgaon,house,manesar,0.8,8,8,2,Relatively New,1200.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 109,1.88,4,5,3,Relatively New,2764.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 79,0.78,2,2,3+,New Property,1172.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 102,1.8,3,3,3,Relatively New,1531.0,0,0,0,Low,Mid Floor
bangalore,flat,"bellandur, bangalore",2.01,3,3,3,New Property,1466.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 74,1.5,2,2,3,Relatively New,1300.0,0,1,0,High,High Floor
bangalore,flat,"chikkagubbi, hennur road",2.25,3,3,2,New Property,1722.0,0,0,0,Low,Low Floor
bangalore,house,"kengeri, bangalore",5.2,3,3,2,Old Property,2658.0,0,0,2,Low,Low Floor
gurgaon,house,sector 39,1.7,2,2,3+,Moderately Old,900.0,1,1,0,Low,Mid Floor
gurgaon,flat,sector 81,2.2,3,4,3+,Relatively New,1900.0,1,0,1,Medium,Mid Floor
gurgaon,house,sector 12,1.5,5,5,2,Old Property,1350.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 70a,1.04,3,3,3+,Relatively New,1611.0,0,0,2,Medium,Low Floor
bangalore,house,"basaveshwara nagar, bangalore",7.25,7,6,2,Old Property,2400.0,0,1,1,Low,Low Floor
bangalore,flat,"siddapura, whitefield",3.95,3,4,2,Moderately Old,2255.0,1,0,2,Low,Mid Floor
bangalore,house,"6th phase jp nagar, bangalore",6.5,4,4,3+,New Property,5110.0,1,1,1,Medium,Mid Floor
gurgaon,flat,sector 37d,1.6,4,3,3+,Relatively New,2000.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sector 37c,0.55,1,1,0,Relatively New,668.9763849999999,0,0,0,Low,Mid Floor
gurgaon,flat,sector 113,2.0,3,3,2,Under Construction,1506.0,0,0,0,Low,High Floor
gurgaon,flat,sector 47,2.4,3,4,3+,Moderately Old,1916.0,1,0,0,Medium,Mid Floor
gurgaon,flat,sector 107,1.21,3,3,3,Moderately Old,1712.0,0,0,2,Medium,Mid Floor
